iter	Passed	Remaining
669	1638	806
670	1640	804
671	1641	801
672	1644	798
673	1645	796
674	1647	793
675	1649	790
676	1651	787
677	1653	785
678	1654	782
679	1656	779
680	1659	777
681	1662	775
682	1664	772
683	1666	770
684	1668	767
685	1670	764
686	1672	762
687	1676	760
688	1680	758
689	1683	756
690	1685	753
691	1687	751
692	1690	748
693	1694	747
694	1696	744
695	1699	742
696	1701	739
697	1703	736
698	1705	734
699	1707	731
700	1709	729
701	1711	726
702	1713	723
703	1716	721
704	1718	719
705	1720	716
706	1722	713
707	1724	711
708	1726	708
709	1727	705
710	1729	703
711	1731	700
712	1733	697
713	1735	695
714	1737	692
715	1740	690
716	1742	687
717	1743	684
718	1745	682
719	1747	679
720	1749	677
721	1751	674
722	1753	671
723	1756	669
724	1757	666
725	1759	664
726	1762	661
727	1764	659
728	1766	656
729	1768	654
730	1770	651
731	1772	649
732	1774	646
733	1776	643
734	1778	641
735	1780	638
736	1783	636
737	1785	633
738	1788	631
739	1790	629
740	1793	626
741	1795	624
742	1796	621
743	1798	618
744	1800	616
745	1803	614
746	1805	611
747	1807	608
748	1809	606
749	1811	603
750	1812	601
751	1814	598
752	1816	595
753	1818	593
754	1820	590
755	1821	587
756	1823	585
757	1825	582
758	1827	580
759	1829	577
760	1831	575
761	1834	572
762	1836	570
763	1837	567
764	1839	565
765	1842	562
766	1843	560
767	1845	557
768	1847	555
769	1850	552
770	1851	550
771	1853	547
772	1855	544
773	1858	542
774	1859	539
775	1861	537
776	1863	534
777	1865	532
778	1867	529
779	1869	527
780	1870	524
781	1873	522
782	1875	519
783	1877	517
784	1879	514
785	1881	512
786	1883	509
787	1885	507
788	1886	504
789	1888	502
790	1890	499
791	1892	496
792	1893	494
793	1896	491
794	1898	489
795	1900	486
796	1901	484
797	1903	481
798	1905	479
799	1907	476
800	1909	474
801	1910	471
802	1914	469
803	1916	467
804	1918	464
805	1920	462
806	1923	459
807	1925	457
808	1928	455
809	1929	452
810	1931	450
811	1933	447
812	1935	445
813	1936	442
814	1938	440
815	1940	437
816	1941	434
817	1943	432
818	1945	429
819	1947	427
820	1948	424
821	1950	422
822	1952	419
823	1954	417
824	1955	414
825	1957	412
826	1959	409
827	1961	407
828	1963	404
829	1964	402
830	1966	399
831	1968	397
832	1969	394
833	1971	392
834	1973	389
835	1975	387
836	1976	384
837	1978	382
838	1980	380
839	1982	377
840	1984	375
841	1986	372
842	1987	370
843	1989	367
844	1991	365
845	1993	362
846	1994	360
847	1996	357
848	1999	355
849	2001	353
850	2002	350
851	2004	348
852	2006	345
853	2008	343
854	2009	340
855	2011	338
856	2013	335
857	2015	333
858	2016	331
859	2018	328
860	2020	326
